,Total_Days,amount_raised_usd,amount_raised_usd_boxcox,state,currency,category,month_launch
17096,60,3020.0,6.32806748040037,0,USD,Food & Beverages,9
17097,30,6180.0,6.756250392907742,0,USD,Film,9
17098,1,2218741.0,9.644198239027224,1,USD,Fashion & Wearables,9
17099,1,2218959.0,9.64423827387333,1,USD,Fashion & Wearables,9
17100,1,25214.0,7.544162823311614,0,USD,Fashion & Wearables,9
17101,60,5181.502448381671,6.652615196599967,0,CAD,Photography,9
17102,60,4367.629625007799,6.551048288522588,0,EUR,Education,9
17103,18,3431.7089910775567,6.405876374214418,0,EUR,Culture,9
17104,35,555.8801340919017,5.237908166237154,0,EUR,Video Games,9
17105,60,32693.579229925457,7.682429487127575,1,HKD,Phones & Accessories,9
17106,1,349629.0,8.846835067550025,1,USD,Energy & Green Tech,9
17107,60,135.0,4.235106857674596,0,USD,Web Series & TV Shows,9
17108,1,1993994.0,9.600535717243618,1,USD,Video Games,9
17109,1,93362.0,8.218992911627916,1,USD,Travel & Outdoors,9
17110,21,6600.0,6.794631634388935,1,USD,Tabletop Games,9
17111,60,961.557670153756,5.603374023857735,0,GBP,Environment,9
17112,60,913.0,5.56934017450288,0,USD,Comics,9
17113,60,9805.0,7.02243887860584,0,USD,Food & Beverages,9
17114,30,1617.0,5.938826904345236,0,USD,Energy & Green Tech,9
17115,60,4343.0,6.547668674035301,0,USD,Film,9
17116,60,271.0,4.739756230850445,0,USD,Wellness,9
17117,40,2668.0,6.252031393401843,0,USD,Culture,9
17118,39,5681.0,6.706878430724694,0,USD,Music,9
17119,24,3590.0,6.433185169121189,0,USD,Music,9
17120,60,16699.199358587695,7.320280114411942,0,CAD,Environment,9
17121,60,627.503564705861,5.319797992793767,0,DKK,"Podcasts, Blogs & Vlogs",9
17122,1,25969.81230537105,7.5599943556227736,0,EUR,Fashion & Wearables,9
17123,30,1203.0,5.749266656943292,0,USD,Tabletop Games,9
17124,30,20965.0,7.4445900305450525,0,USD,Film,9
17125,40,1635.0,5.945855580300244,0,USD,Culture,9
17126,1,83082.0,8.161035279502405,1,USD,Audio,9
17127,30,8049.0,6.909553934733648,0,USD,Home,9
17128,60,3310.365842924704,6.384020613022261,0,DKK,"Podcasts, Blogs & Vlogs",9
17129,30,2558.183066075997,6.226110908786809,0,EUR,Tabletop Games,9
17130,60,2950.0,6.313723043487413,0,USD,Film,9
17131,31,1430.0,5.860474791325876,0,USD,Wellness,9
17132,60,1813.0,6.011237924695806,0,USD,Culture,9
17133,60,1745.0,5.987099547932116,0,USD,Dance & Theater,9
17134,30,300.0,4.8115909697623875,0,USD,Video Games,9
17135,60,614.4370220785206,5.305623483203132,0,CAD,Wellness,9
17136,30,9954.792197258035,7.031055127213266,0,EUR,Culture,9
17137,35,319.6313584998635,4.856152365299589,0,GBP,Home,9
17138,60,1334.0,5.815908211006276,0,USD,Video Games,9
17139,60,12084.0,7.140502280839778,0,USD,Film,9
17140,1,109184.0,8.296120829033024,1,USD,Fashion & Wearables,9
17141,1,145767.0,8.436556889207095,1,USD,Camera Gear,9
17142,30,780.0,5.465267043398041,0,USD,Food & Beverages,9
17143,30,1240.0,5.768841283901918,0,USD,Tabletop Games,9
17144,60,3152.0,6.354181313344222,0,USD,Fashion & Wearables,9
17145,60,1495.0,5.888882751962148,0,USD,Art,9
17146,43,9775.0,7.020696449455851,0,USD,Music,9
17147,60,3064.0,6.33690448485112,0,USD,Film,9
17148,1,462409.0,8.973364546976953,1,USD,Health & Fitness,9
17149,30,125669.0,8.364769319492012,1,USD,Audio,9
17150,30,940.0,5.588494917668691,0,USD,Dance & Theater,9
17151,60,140.0,4.26198180659655,0,USD,Wellness,9
17152,30,2527.0,6.21853497078102,0,USD,Food & Beverages,9
17153,30,4816.0,6.609264938659807,0,USD,Film,9
17154,60,177.0,4.433843382356185,0,USD,Transportation,9
17155,60,763.0,5.450620287393005,0,USD,Food & Beverages,9
17156,35,62504.0,8.017885353926495,1,USD,Home,9
17157,28,13032.0,7.182796996926609,0,USD,Video Games,9
17158,1,400860.0,8.9089914849388,1,USD,Audio,9
17159,35,22.0,2.8152684682142914,0,USD,Comics,9
17160,60,1325.0,5.811556657726612,0,USD,Education,9
17161,35,4754.0,6.601565952117465,0,USD,Comics,9
17162,60,10122.991483156093,7.04056765246867,0,GBP,Music,9
17163,16,780.0,5.465267043398041,0,USD,Tabletop Games,9
17164,15,26959.0,7.579990877733423,0,USD,Human Rights,9
17165,1,7121.0,6.838790128099759,0,USD,Tabletop Games,9
